Asa Martin,RB,36,312,8.7,43,1
Camren McDonald,TE,21,312,14.9,41,1
Jonah Panoke,WR,27,312,11.6,28,1
Renard Bell,WR,28,310,11.1,47,2
Jonathan Brady,WR,23,310,13.5,50,3
Daniel Arias,WR,19,309,16.3,42,1
Braden Lenzy,WR,24,309,12.9,44,3
Dayton Wade,WR,27,309,11.4,39,3
Elijah Metcalf,WR,26,309,11.9,69,2
Tai Felton,WR,23,309,13.4,37,2
Treyton Welch,TE,22,308,14.0,47,5
Brashard Smith,WR,33,308,9.3,30,0
Casey Washington,WR,31,306,9.9,25,0
Silas Bolden,WR,23,305,13.3,34,4
Thomas Yassmin,TE,13,301,23.2,72,6
Wyatt Wieland,WR,23,299,13.0,39,1
Bucky Irving,RB,31,299,9.6,37,3
Marcell Barbee,WR,21,299,14.2,45,1
Frank Ladson Jr.,WR,27,298,11.0,23,1
Mookie Cooper,WR,26,298,11.5,46,0
Roman Hemby,RB,33,298,9.0,27,1
Charles Brown,WR,22,297,13.5,67,3
Johnny Langan,TE,31,296,9.5,31,1
Josh Vann,WR,18,296,16.4,60,3
Lawrence Keys III,WR,30,296,9.9,43,2
Neal Johnson,TE,25,296,11.8,43,2
Trey Knox,TE,26,296,11.4,36,5
RJ Maryland,TE,28,296,10.6,51,6
Toa Taua,RB,41,295,7.2,29,1
Blake Whiteheart,TE,24,295,12.3,30,3
Nakia Watson,RB,30,295,9.8,35,4
Jermaine Braddock,WR,26,295,11.3,32,0
Jalen Bracey,WR,39,294,7.5,26,2
Stephon Johnson,WR,17,293,17.2,84,2
Alred Luke,WR,23,293,12.7,68,1
Austin Williams,WR,34,291,8.6,24,5
Ainias Smith,WR,15,291,19.4,63,2
Luke Wysong,WR,34,291,8.6,33,1
Titus Mokiao-Atimalala,WR,17,290,17.1,49,1
Xazavian Valladay,RB,37,289,7.8,35,2
Mikel Barkley,WR,22,289,13.1,39,3
Kevens Clercius,WR,24,288,12.0,40,1
Jo'Quavious Marks,RB,48,288,6.0,20,0
Jack Coldiron,TE,24,286,11.9,43,1
Frank Peasant,RB,28,286,10.2,32,2
Tyrick James,TE,25,285,11.4,29,5
Jake Briningstool,TE,25,285,11.4,49,4
Dillon Johnson,RB,48,285,5.9,38,0
John Stephens Jr.,WR,14,284,20.3,55,3
Logan Loya,WR,18,284,15.8,70,3
Mershawn Rice,WR,23,283,12.3,29,1
Kentron Poitier,WR,14,283,20.2,48,4
Gavin Bartholomew,TE,21,283,13.5,57,2
Jack Velling,TE,16,281,17.6,60,3
Darryl Jones,WR,30,280,9.3,27,3
Dylan Wright,WR,17,280,16.5,42,1
Gunnar Oakes,TE,27,279,10.3,27,0
Jamaal Bell,WR,28,279,10.0,58,0
Jeff Weimer,WR,26,278,10.7,32,1
Taj Davis,WR,21,277,13.2,62,3
Ketron Jackson Jr.,WR,16,277,17.3,64,3
Jalen Walker,WR,28,276,9.9,33,0
Alec Holler,TE,22,276,12.5,64,1
Anthony Sambucci,WR,20,276,13.8,44,1
Kelly Akharaiyi,WR,21,275,13.1,68,1
Josh Henderson,RB,24,274,11.4,44,4
Devin Mockobee,RB,32,274,8.6,28,0
Joshua Simon,TE,20,273,13.6,47,7
Harrison Wallace III,WR,19,273,14.4,48,1
Javen Banks,WR,19,271,14.3,52,4
Raheim Sanders,RB,28,271,9.7,73,2
Julian Ortega-Jones,WR,29,270,9.3,47,1
Isaiah Alston,WR,16,269,16.8,67,1
Lawrance Toafili,RB,24,268,11.2,65,1
Kyren Lacy,WR,24,268,11.2,45,0
Austin Jones,RB,25,267,10.7,29,1
Devin Culp,TE,29,266,9.2,26,1
Jayden Umbarger,WR,16,265,16.6,52,2
Dean Patterson,WR,17,264,15.5,46,0
Will Kacmarek,TE,20,264,13.2,32,0
Taylor Thompson,TE,14,263,18.8,40,0
Edward Saydee,RB,36,262,7.3,61,0
Samario Rudolph,WR,14,262,18.7,59,2
Jack Bradley,TE,28,260,9.3,31,2
Eric McAlister,WR,11,259,23.5,44,4
Tony Johnson,WR,23,258,11.2,37,3
George Takacs,TE,26,256,9.8,34,1
Tyjae Spears,RB,22,256,11.6,30,2
Nick Gallo,TE,30,256,8.5,35,0
Ben Sims,TE,31,255,8.2,25,3
Sean Tucker,RB,36,254,7.1,55,2
Da'Wain Lofton,WR,22,254,11.5,53,2
Shameen Jones,WR,16,252,15.8,43,2
Keaton Mitchell,RB,27,252,9.3,73,1
Justin Joly,TE,18,250,13.9,62,2
Ta'Zhawn Henry,RB,21,246,11.7,39,1
Spencer Curtis,WR,18,245,13.6,28,1
Lincoln Victor,WR,26,245,9.4,27,0
Jared Wiley,TE,24,245,10.2,30,4
Daejon Reynolds,WR,11,244,22.2,74,2
DeShawn Hanika,TE,17,244,14.4,26,4
Roderick Daniels Jr.,WR,22,243,11.0,75,3
Josiah Miamen,TE,27,242,9.0,21,1
Will Shipley,RB,38,242,6.4,26,0
Mark Walker,WR,13,242,18.6,37,1
Princeton Fant,TE,22,241,11.0,41,3
Pat Garwo III,RB,29,241,8.3,45,0
Travis Vokolek,TE,20,240,12.0,56,2
Chase Brown,RB,27,240,8.9,43,3
Tauskie Dove,WR,16,240,15.0,46,1
Xavier Restrepo,WR,21,240,11.4,52,2
Daniel Barker,TE,21,239,11.4,26,2
Gavin Blackwell,WR,18,239,13.3,36,1
Johnnie Lang,RB,24,238,9.9,27,3
Sean Atkins,WR,19,238,12.5,37,3
Quincy Skinner Jr.,WR,17,238,14.0,66,2
Donny Navarro III,WR,31,237,7.6,22,2
Christian Trahan,TE,23,237,10.3,37,3
Andison Coby,WR,18,237,13.2,49,1
Dea Dea McDougle,WR,23,236,10.3,38,1
Michael Jackson III,WR,17,236,13.9,59,4
Rontavius Groves,WR,23,235,10.2,18,1
Colston Loveland,TE,16,235,14.7,45,2
Leyton Smithson,WR,30,235,7.8,29,1
Joseph Griffin Jr.,WR,18,234,13.0,36,5
Dontay Demus Jr.,WR,22,233,10.6,35,1
Mark Redman,TE,21,233,11.1,28,2
Donovan Green,TE,22,233,10.6,28,2
Monroe Young,WR,23,231,10.0,36,3
Jaheim Bell,TE,25,231,9.2,46,2
T.J. Jones,WR,29,231,8.0,64,1
Amir Abdur-Rahman,WR,23,229,10.0,39,1
Eric Gray,RB,33,229,6.9,24,0
Lincoln Pare,RB,29,229,7.9,64,1
Isaiah Hamilton,WR,11,228,20.7,37,2
Dominick Blaylock,WR,15,227,15.1,35,1
DJ Thomas-Jones,TE,24,227,9.5,19,4
Michael Ezeike,TE,20,226,11.3,49,4
Talik Keaton,WR,24,226,9.4,38,0
Sieh Bangura,RB,27,226,8.4,25,2
Braylon McReynolds,RB,21,226,10.8,33,1
Wayne Taulapapa,RB,24,225,9.4,34,1
Roc Taylor,WR,20,225,11.3,30,1
Malik Rutherford,WR,23,225,9.8,38,0
Jordan Bly,WR,22,225,10.2,32,0
D.J. Matthews Jr.,WR,23,224,9.7,52,2
Jared Casey,TE,18,224,12.4,66,4
Jarquez Hunter,RB,17,224,13.2,62,2
Gunnar Henderson,WR,11,223,20.3,62,2
Shadrick Byrd,RB,21,222,10.6,36,1
Keegan Jones,WR,21,222,10.6,52,3
John Copenhaver,TE,15,222,14.8,47,0
Davis Koetter,WR,14,221,15.8,52,1
Drew Painter,TE,19,221,11.6,31,2
CJ Yarbrough,WR,16,221,13.8,41,2
Vincent Terrell Jr.,WR,9,221,24.6,65,2
Tykee Ogle-Kellogg,WR,13,220,16.9,70,2
Dominic Richardson,RB,22,220,10.0,44,0
Jordan Dingle,TE,20,220,11.0,24,3
Isaiah Bond,WR,17,220,12.9,53,1
Frank Gore Jr.,RB,19,219,11.5,32,0
Keilan Robinson,RB,20,219,10.9,35,3
Nick Mardner,WR,19,218,11.5,35,3
Zae Baines,WR,18,218,12.1,35,2
Harold Fannin Jr.,TE,19,218,11.5,42,1
Shedrick Jackson,WR,16,217,13.6,43,0
Jalen White,RB,22,217,9.9,37,1
Michael Redding III,WR,15,217,14.5,34,1
Dominick Mazotti,TE,21,216,10.3,36,3
RJ Harvey,RB,22,215,9.8,29,0
Braden Smith,WR,21,215,10.2,31,1
Chris Autman-Bell,WR,11,214,19.5,54,1
Riley Smith,TE,25,214,8.6,35,1
Jordan Houston,RB,25,213,8.5,34,1
La'Damian Webb,RB,21,213,10.1,28,2
Bryce Kirtz,WR,19,212,11.2,41,0
Bryce Childress,WR,17,212,12.5,72,1
Marcus Rogers,WR,14,211,15.1,50,0
Logan Diggs,RB,10,211,21.1,75,2
Austin Stogner,TE,20,210,10.5,25,1
Maliq Carr,TE,16,209,13.1,72,2
Senika McKie,WR,17,209,12.3,38,1
John Samuel Shenker,TE,20,208,10.4,27,1
Ay'Jaun Marshall,WR,6,208,34.7,77,2
Dae'Quan Wright,TE,19,208,10.9,36,0
Kenan Christon,RB,9,207,23.0,73,2
Ron Cook Jr.,RB,16,207,12.9,39,0
Josh Kelly,WR,12,207,17.3,60,0
Keleki Latu,TE,18,207,11.5,29,1
Brant Kuithe,TE,19,206,10.8,37,3
Malik McClain,WR,17,206,12.1,44,3
Andreas Paaske,TE,10,206,20.6,75,2
Reese Smith,WR,19,205,10.8,30,1
Casey Filkins,RB,17,205,12.1,42,1
Jake Bailey,WR,12,205,17.1,45,1
Juju McDowell,RB,24,205,8.5,65,1
Charles Ross,WR,14,204,14.6,40,1
Dior Scott,WR,25,204,8.2,24,0
Trent Thompson,TE,9,203,22.6,56,2
Trebor Pena,WR,22,203,9.2,30,0
Le'Meke Brockington,WR,11,203,18.5,45,1
Travis Dye,RB,21,202,9.6,19,0
Shane Calhoun,TE,25,202,8.1,36,2
Courtney Jackson,WR,15,201,13.4,25,1
Casey Cain,WR,8,201,25.1,49,0
Chris Long,WR,15,200,13.3,48,1
Donovan Edwards,RB,18,200,11.1,33,2
Jack Bech,WR,16,200,12.5,29,1
AJ Barner,TE,28,199,7.1,43,3
Key'Shawn Smith,WR,13,199,15.3,39,2
Tyrone Tracy Jr.,RB,28,198,7.1,32,0
Caleb McMillan,WR,13,198,15.2,78,1
Arian Smith,WR,7,198,28.3,76,1
Thomas Zsiros,WR,10,198,19.8,50,1
De'Von Achane,RB,36,196,5.4,25,3
Oliver Martin,WR,11,195,17.7,45,1
Brannon Spector,WR,15,195,13.0,43,2
Beau Johnson,TE,9,195,21.7,42,0
Isaac Ross,WR,21,195,9.3,27,1
Caleb Snead,WR,18,193,10.7,27,0
CJ Beasley,RB,19,193,10.2,59,1
