,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
12,Louisville,13,19.2,16.2,27.8,58.3,197.0,1.3,37.4,133.2,3.6,1.0,65.2,330.2,5.1,8.1,8.5,1.8,18.3,7.8,55.7,1.2,1.2,2.3
13,North Carolina State,13,19.2,20.3,35.5,57.3,226.2,1.2,30.0,100.7,3.4,1.0,65.5,326.9,5.0,9.6,5.0,1.9,16.5,7.6,64.6,0.2,1.5,1.7
14,Fresno State,14,19.4,16.6,31.0,53.5,189.4,1.0,35.0,149.6,4.3,1.2,66.0,338.9,5.1,8.7,7.8,1.9,18.4,6.1,52.5,0.4,0.9,1.3
15,Boise State,14,19.5,13.4,25.9,51.7,167.7,0.9,35.7,124.8,3.5,1.1,61.6,292.5,4.8,6.4,7.3,0.9,14.6,5.7,40.8,0.4,1.1,1.4
16,Oregon State,13,20.0,20.5,35.3,58.0,224.5,0.8,28.8,108.2,3.8,1.3,64.2,332.8,5.2,9.4,7.2,1.5,18.2,6.2,55.8,0.4,0.9,1.3
17,Wisconsin,13,20.2,17.1,28.9,59.0,204.3,1.4,34.1,99.2,2.9,1.1,63.0,303.5,4.8,9.1,5.4,1.5,15.9,4.5,43.8,0.2,1.3,1.5
18,Iowa State,12,20.3,15.8,26.8,59.0,178.3,1.7,33.6,107.3,3.2,0.7,60.4,285.6,4.7,7.5,6.6,1.6,15.7,4.8,42.2,0.7,0.6,1.3
19,San Diego State,13,20.5,19.6,32.0,61.3,208.8,1.6,33.5,113.8,3.4,1.0,65.5,322.7,4.9,9.3,6.5,1.5,17.4,5.2,42.0,0.5,1.0,1.5
20,Cincinnati,13,20.6,16.5,30.1,55.0,182.2,1.2,42.5,153.2,3.6,1.4,72.6,335.5,4.6,8.8,9.0,2.7,20.5,3.8,33.5,0.8,0.8,1.6
21,Florida State,13,20.6,15.2,26.8,56.4,165.4,1.4,39.5,156.4,4.0,1.1,66.4,321.8,4.8,8.2,9.0,1.8,19.1,7.4,62.7,0.6,0.6,1.2
22,Clemson,14,20.9,21.4,34.9,61.3,231.7,1.5,31.6,102.7,3.3,0.9,66.4,334.4,5.0,10.2,6.4,1.8,18.4,6.1,59.9,0.6,0.9,1.5
23,James Madison,11,20.9,15.8,28.9,54.7,210.0,1.5,32.2,79.5,2.5,0.7,61.1,289.5,4.7,8.6,4.0,1.2,13.8,5.2,45.8,1.2,1.0,2.2
24,Ohio State,13,21.0,16.3,27.7,58.9,200.5,1.5,34.4,121.1,3.5,0.9,62.1,321.5,5.2,7.8,5.6,1.5,15.0,5.4,45.4,0.5,0.8,1.4
25,Texas A&M,12,21.2,15.3,27.3,56.3,156.2,1.3,43.3,208.8,4.8,1.1,70.6,365.0,5.2,7.9,10.8,2.1,20.8,7.0,60.9,1.0,0.3,1.3
26,South Alabama,13,21.3,21.6,36.2,59.8,239.4,1.7,28.2,93.9,3.3,0.6,64.4,333.3,5.2,9.8,5.9,2.8,18.6,5.2,49.1,0.5,1.0,1.5
27,Utah,14,21.4,18.1,29.5,61.3,222.6,1.4,28.1,111.4,4.0,1.3,57.6,334.1,5.8,8.9,5.9,1.0,15.8,6.9,59.9,0.9,0.9,1.7
28,Texas,13,21.6,24.2,38.5,62.9,242.7,1.4,36.1,125.7,3.5,1.1,74.6,368.4,4.9,12.2,7.3,1.7,21.2,5.8,44.6,0.3,0.8,1.1
29,Kansas State,14,21.9,19.3,33.1,58.3,224.4,1.5,34.6,150.8,4.4,1.1,67.7,375.1,5.5,9.9,7.5,1.6,18.9,5.9,45.6,0.6,1.1,1.8
30,San Jose State,12,22.0,17.8,29.3,60.7,217.7,1.3,37.8,122.3,3.2,1.3,67.0,339.9,5.1,9.8,7.7,1.3,18.8,7.3,69.3,0.5,1.2,1.7
31,Duke,13,22.1,21.8,35.8,60.9,257.3,1.9,32.7,121.2,3.7,0.8,68.5,378.5,5.5,11.8,7.6,1.4,20.8,5.0,49.6,1.2,0.8,2.0
32,Tulane,14,22.2,19.8,33.1,59.8,208.1,1.6,39.0,152.3,3.9,1.1,72.1,360.4,5.0,9.9,8.9,0.9,19.6,5.3,43.5,0.6,0.9,1.4
33,Army,12,22.5,13.9,22.9,60.7,160.0,1.3,39.4,199.0,5.0,1.6,62.3,359.0,5.8,7.8,10.4,1.2,19.3,5.4,41.2,0.6,0.8,1.4
34,LSU,14,22.5,16.9,30.2,55.8,206.2,1.2,36.2,148.4,4.1,1.3,66.4,354.6,5.3,9.1,8.4,1.4,18.9,5.9,56.4,0.8,0.6,1.4
35,Miami (OH),13,22.6,21.0,34.2,61.3,237.2,1.3,34.8,135.9,3.9,1.3,69.0,373.2,5.4,10.8,7.6,1.8,20.2,6.0,57.7,0.8,0.8,1.7
36,Louisiana,13,22.8,18.8,32.6,57.5,220.1,1.4,35.7,141.6,4.0,1.4,68.3,361.7,5.3,9.2,7.8,2.2,19.1,6.8,53.8,0.6,1.2,1.8
