GERRY,BOHANON,536,South Florida,4.59
JORDAN,WHITTINGTON,537,Texas,4.47
CHU,OGBONNA,538,Akron,
JAHMEER,CARTER,539,Virginia,
TREY,CREAMER,540,Charlotte,
MASON,COBB,541,USC,
KEON,ZIPPERER,542,Florida,4.64
ANTERRIOUS,GRAY,543,South Alabama,
COREY,RUCKER,544,Arkansas State,4.49
WILL,ROGERS,545,Mississippi State,4.84
T.J.,TAMPA,546,Iowa State,4.45
AJ,Barner,547,Michigan,
JAYLON,CARLIES,548,Missouri,4.50
JALEN,BERGER,549,Michigan State,4.58
JOSH,NEWTON,550,TCU,4.60
AJANI,CORNELIUS,551,Oregon,
STEFON,THOMPSON,552,Syracuse,4.65
TREY,SANDERS,553,TCU,4.52
JONAH,DALMAS,554,Boise State,
NICK,ANDERSEN,555,Wake Forest,4.58
TY'RON,HOPPER,556,Missouri,4.50
DAVID,UGWOEGBU,557,Houston,4.65
KEILAN,ROBINSON,558,Texas,4.32
PIERCE,QUICK,559,Georgia Tech,5.14
DAVONTE,BROWN,560,Miami,4.55
MAURICE,SMITH,561,Florida State,5.20
JADEN,WALLEY,562,Mississippi State,4.45
TRE'VEZ,JOHNSON,563,Missouri,4.42
D.J.,GRAHAM,564,Oklahoma,4.55
ANDRE,WHITE JR.,565,Georgia Tech,
CHRISTIAN,ROLAND-WALLACE,566,USC,
SHANE,LEE,567,USC,4.60
DEVERE,LEVELSTON,568,SMU,4.80
KARON,PRUNTY,569,North Carolina A&T,4.49
KAIMON,RUCKER,570,North Carolina,4.79
DEANTRE,PRINCE,571,Ole Miss,
MICHAEL,PRATT,572,Tulane,4.65
DARRELL,SIMMONS JR.,573,Iowa State,5.26
DILLON,WADE,574,Auburn,
MASE,FUNA,575,Oregon,4.70
ISHEEM,YOUNG,576,Ole Miss,4.51
ZACH,CALZADA,577,Auburn,4.75
JIREHL,BROCK,578,Iowa State,4.45
TAYVION,ROBINSON,579,Kentucky,4.55
NOAH,CAIN,580,LSU,4.53
MARCUS,BANKS,581,Mississippi State,4.45
ZEKE,CORRELL,582,Notre Dame,5.10
COURTLAND,FORD,583,USC,5.20
EMORY,JONES,584,Cincinnati,4.60
AJOU,AJOU,585,South Florida,4.63
JEREMIAH,JEAN-BAPTISTE,586,Ole Miss,
JADEN,CRUMEDY,587,Mississippi State,5.00
JALEN,MAYDEN,588,San Diego State,
ZION,LOGUE,589,Georgia,4.91
MARCUS,KNIGHT,590,Montana,
MILES,FRAZIER,591,LSU,
DOUG,NESTER,592,West Virginia,5.45
BRANDON,THOMAS,593,Memphis,4.39
DELMAR,GLAZE,594,Maryland,5.18
MICAH,MAZZCCUA,595,Florida,5.30
DARIUS,WASHINGTON,596,Florida State,
KAVOSIEY,SMOKE,597,Colorado,4.50
JAYLEN,MAHONEY,598,Vanderbilt,
JAYLEN,MCCOLLOUGH,599,Tennessee,4.58
CONNOR,BAZELAK,600,Bowling Green,4.89
